,state,July
5,Alabama,"4,903,185"
6,Alaska,"731,545"
7,Arizona,"7,278,717"
8,Arkansas,"3,017,804"
9,California,"39,512,223"
10,Colorado,"5,758,736"
11,Connecticut,"3,565,287"
12,Delaware,"973,764"
13,District of Columbia,"705,749"
14,Florida,"21,477,737"
15,Georgia,"10,617,423"
16,Hawaii,"1,415,872"
17,Idaho,"1,787,065"
18,Illinois,"12,671,821"
19,Indiana,"6,732,219"
20,Iowa,"3,155,070"
21,Kansas,"2,913,314"
22,Kentucky,"4,467,673"
23,Louisiana,"4,648,794"
24,Maine,"1,344,212"
25,Maryland,"6,045,680"
26,Massachusetts,"6,892,503"
27,Michigan,"9,986,857"
28,Minnesota,"5,639,632"
29,Mississippi,"2,976,149"
30,Missouri,"6,137,428"
31,Montana,"1,068,778"
32,Nebraska,"1,934,408"
33,Nevada,"3,080,156"
34,New Hampshire,"1,359,711"
35,New Jersey,"8,882,190"
36,New Mexico,"2,096,829"
37,New York,"19,453,561"
38,North Carolina,"10,488,084"
39,North Dakota,"762,062"
40,Ohio,"11,689,100"
41,Oklahoma,"3,956,971"
42,Oregon,"4,217,737"
43,Pennsylvania,"12,801,989"
44,Rhode Island,"1,059,361"
45,South Carolina,"5,148,714"
46,South Dakota,"884,659"
47,Tennessee,"6,829,174"
48,Texas,"28,995,881"
49,Utah,"3,205,958"
50,Vermont,"623,989"
51,Virginia,"8,535,519"
52,Washington,"7,614,893"
53,West Virginia,"1,792,147"
54,Wisconsin,"5,822,434"
55,Wyoming,"578,759"
56,Puerto Rico,"3,193,694"
